id,uncleaned_lena_dur,cleaned_lena_dur,awc_perhr_cleaned,ctc_perhr_cleaned,cvc_perhr_cleaned,language
20003,11.748888888888889,10.960833333333333,928.5790313996807,34.85136470767125,209.65559188017943,english
20001,6.042777777777777,6.041388888888889,1596.8182445169891,113.38452342636442,415.1363281070394,english
20004,5.88,3.875,1085.4193548387098,59.354838709677416,198.19354838709677,english
20007,5.789444444444444,5.6825,1008.0070391553013,28.156621205455345,138.1434227892653,english
20034,6.2347222222222225,4.45,1896.1797752808989,120.2247191011236,393.2584269662921,english
20041,16.00027777777778,15.998888888888889,1586.2351552191124,55.75387179665255,191.70081255642754,english
20048,8.154166666666667,8.149444444444445,1161.6742790919627,75.4652668893585,305.6650078396619,english
20056,15.716666666666667,13.213333333333333,4326.9929364278505,193.81937436932392,391.9525731584258,english
20071,15.999722222222223,13.719166666666666,1711.2555427321875,86.30261799186054,348.85500820020656,english
20073,8.5905555555555555,8.166666666666666,1617.6734693877552,75.18367346938776,233.75510204081635,english
20086,11.039722222222222,9.538055555555555,1850.7965168768385,91.21355971692344,293.5608818475697,english
20108,16,8.582222222222223,988.5551527705851,52.783531848783014,429.3759709994821,english
20112,7.466666666666667,6.465833333333333,1569.171284959402,141.2037633715685,421.9100399536023,english
20113,8.007222222222222,7.556666666666667,983.3700926334362,46.449051610057346,234.36259373621527,english
20114,12.324166666666667,9.209722222222222,1243.7942995023375,83.60729904991706,351.80214145679383,english
20117,14.928611111111111,12.761111111111111,1410.7705703090987,46.9394862864606,170.04788855028298,english
20121,9.16638888888889,4.497777777777777,752.1492094861661,34.016798418972336,223.4436758893281,english
20122,8.376388888888888,5.721666666666667,1000.4078065831634,60.646664724730556,221.26420040780658,english
20127,14.001666666666667,12.305555555555555,1211.647855530474,75.81941309255079,301.2460496613996,english
20128,11.499444444444444,9.5,789.8947368421053,49.05263157894737,292.2105263157895,english
20129,16,9.833333333333334,1844.2372881355932,37.11864406779661,102.3050847457627,english
20132,12.033333333333333,10.614444444444445,1054.6948602533234,58.31675913325657,253.42824243693082,english
20136,13.364722222222222,12.640833333333333,1525.2159008504186,78.15940404772893,287.8765904146615,english
20149,8.059166666666666,8.058055555555555,1538.2122789479129,113.4268675238719,407.04608914474824,english
20157,8.339444444444444,8.251111111111111,1210.988419068139,26.90546727713439,132.10342041475894,english
20161,8.365277777777777,7.198611111111111,1607.39340150492,78.3484468454563,173.64460737024888,english
20166,9.867777777777778,7.483888888888889,1345.8243634474054,73.35758295597951,363.714646277188,english
20167,6.740277777777778,6.324166666666667,1507.7085254974304,86.65173277111609,289.68243510343916,english
20169,14.263333333333334,9.7875,1316.8837803320562,93.58876117496807,352.28607918263094,english
20176,12.189722222222223,10.598888888888888,2334.961736031031,102.46357060488522,292.20044029772515,english
20177,8.541944444444445,7.501666666666667,951.2552766051988,79.18240391024217,380.31548544767827,english
20191,7.665555555555556,2.4166666666666665,421.65517241379314,4.9655172413793105,64.13793103448276,english
20192,11.884444444444444,11.884444444444444,924.822363500374,44.3436798803291,277.4214659685864,english
20200,11.692222222222222,9.310277777777777,2101.226243398872,148.7603305785124,358.95814064504583,english
20203,14.695277777777777,10.097222222222221,865.1884456671253,29.513067400275105,224.121045392022,english
20204,8.28888888888889,7.615277777777778,2163.9394492066385,87.5870873609338,310.5599124566843,english
20224,16,9.400277777777777,2185.680092195857,116.69867911704738,359.0319435004876,english
20225,16,6.733611111111111,835.6585949424529,52.126562435543086,200.0412524235799,english
20233,12.601111111111111,5.5,2569.2727272727275,76.54545454545455,245.8181818181818,english
20236,11.05888888888889,9.320833333333333,1059.4546267322307,93.12472060795709,450.4962002682164,english
20242,10.309722222222222,9.699722222222222,541.9742833414473,13.196254188264268,87.73447120478822,english
20050,13.671111111111111,11.311111111111112,2215.785854616896,101.31630648330058,306.60117878192534,english
20190,10.346111111111112,10.300555555555556,241.34620570627257,10.87319993527857,129.5075778005501,english
20227,11.740555555555556,8.489444444444445,1233.2962502454027,85.98913683659447,425.2339506576795,english
20251,10.767222222222221,9.5725,1787.8297205536694,126.50822669104205,446.38286758944895,english
7292,13.857777777777779,13.1775,1320.8119901346993,62.530829064693606,257.1808006070954,spanish
7352,10.3475,7.901111111111111,821.9097173393335,27.3379271551118,140.23344114751794,spanish
7355,16,15.885833333333334,1440.0251796674186,78.11991816608088,417.16413995698474,spanish
7363,13.019722222222223,9.425277777777778,800.4008134154608,39.043942117827356,261.2124605817689,spanish
7373,15.491388888888888,15.089722222222223,926.1933251109106,65.34248844872337,421.6114721204646,spanish
7409,16,16,512.8125,29.375,152.1875,spanish
7412,16,15.814722222222223,2357.4236383116995,101.80387472994572,325.7091669154972,spanish
7433,5.945555555555556,4.196111111111111,821.2365947305707,53.144445915530255,362.7168012710182,spanish
7446,16,9.4075,835.078394897688,78.44804677119319,461.1214456550624,spanish
7448,11.30861111111111,6.929444444444444,531.5000400865871,34.6348111921751,289.48929688126356,spanish
7473,16.00027777777778,16.00027777777778,1019.2323049947049,59.186472457075396,218.37120883317996,spanish
7480,10.309722222222222,10.3075,1155.9544021343684,79.26267281105991,401.7463012369634,spanish
7499,18.191388888888888,11.043333333333333,974.7962571687293,76.8789616661636,294.11409598551165,spanish
7508,16,15.306111111111111,1181.2928750317592,38.74269536495953,149.94011106674893,spanish
7550,5.468333333333334,5.446666666666666,878.702570379437,49.75520195838433,217.74785801713588,spanish
7552,16,15.177777777777777,2143.133235724744,98.16983894582724,308.80673499267937,spanish
7574,15.999722222222223,15.745277777777778,1383.462413774853,96.854436074308,416.9504084116931,spanish
7579,5.485555555555556,3.2977777777777777,2038.645552560647,89.45417789757413,217.722371967655,spanish
7580,16.00027777777778,14.159166666666666,929.5038549820493,85.73950915190396,457.5128008945913,spanish
7621,16,12.25,1721.8775510204082,106.61224489795919,368.734693877551,spanish
7660,10.015555555555556,9.9094444444444445,811.3471996411953,48.034983461344396,314.0438414531592,spanish
7692,14.748888888888889,14.725277777777778,1620.7504102922035,106.82311218426364,322.30291826224743,spanish
7739,14.545277777777779,14.368333333333334,1057.8123187565247,62.35935506321772,301.49634613153927,spanish
7780,15.999722222222223,14.648055555555555,751.2942559687483,39.32262530104489,355.1324597500616,spanish
7791,16,15.68138888888889,1473.5939631197632,97.31280888526739,421.5187855384125,spanish
7795,16,11.860833333333334,1211.0447551464906,59.86088667181901,234.80643574790977,spanish
7812,15.994444444444444,11.748888888888889,1754.1233213542653,68.4320030262909,170.56932097597883,spanish
7908,16,9.583333333333334,862.8521739130434,43.51304347826087,238.9565217391304,spanish
7912,10.091388888888888,9.649722222222222,775.6699962578083,36.37410403293129,139.38225049656006,spanish
7915,7.034166666666667,6.410833333333334,1830.4952554270114,134.1479266865982,492.75965163135317,spanish
7920,15.999722222222223,15.050277777777778,788.8890939628283,37.9394990863956,200.5278603200384,spanish
7949,19.951944444444443,11.384166666666667,1367.9525656979722,80.55047214698777,283.37603396530267,spanish
7969,15.94111111111111,14.478333333333333,996.9379532634972,29.561413606538505,150.15540462760447,spanish
7995,13.255833333333333,12.812777777777777,917.9898538785068,62.12548237436587,255.52616745436416,spanish
8022,11.972777777777777,9.5725,977.4875946722382,75.42439279185166,403.4473752938104,spanish
8098,11.415,11.298333333333334,2324.7676648473225,115.85779613512317,388.3758666469981,spanish
8115,16,15.04,967.6196808510639,46.34308510638298,259.0425531914894,spanish
7749,14.947222222222223,14.576944444444445,674.3525735083941,35.67277092821617,166.15279074642223,spanish
7881,15.037222222222223,15.037222222222223,932.9515646359034,41.16451767835371,207.9506410019581,spanish
8058,6.933611111111111,5.611666666666666,1013.6026136026137,16.216216216216218,70.21087021087021,spanish
7963,12.805277777777778,11.919166666666667,1038.9988114381597,41.0263581066909,182.0597077536181,spanish
8130,8.301388888888889,8.301388888888889,1901.3685795549607,124.43700853270872,400.77630918521,spanish
8144,16.000555555555554,8.397777777777778,3260.624503836994,146.8245567610479,342.35247419952367,spanish
8216,6.540555555555556,6.325,544.8221343873518,47.74703557312253,356.99604743083,spanish
8048,14.004444444444445,13.860277777777778,753.1595085876907,62.336413010802254,323.37014249353666,spanish
