id,segment_num,activity_both,coder1_dur,coder2_dur,coder1_ant,coder2_ant
20001,context4,ac,105.012,70.552,ac,ac
20001,context4,conv,14.757,31.259,conv,conv
20001,context4,routines,142.64,154.616,routines,routines
20003,context15,ac,38.674,no_code,ac,no_code
20003,context15,books,394.491,446.595,books,books
20004,context7,ac,186.178,22.825,ac,ac
20004,context7,conv,no_code,157.61,no_code,conv
20004,context7,food,no_code,6.17,no_code,food
20004,context7,play,128.621,124.674,play,play
20007,context14,ac,44.227,83.479,ac,ac
20007,context14,conv,171.775,118.981,conv,conv
20034,context7,play,299.468,492.972,play,play
20041,context4,food,134.023,134.15,food,food
20041,context4,play,291.555,297.753,play,play
20048,context2,food,591.457,512.795,food,food
20050,context3,books,401.351,417,books,books
20050,context3,conv,134.595,125.826,conv,conv
20056,context9,ac,182.392,263.573,ac,ac
20056,context9,conv,23.423,200.963,conv,conv
20056,context9,play,210.507,no_code,play,no_code
20071,context9,play,184.056,349.422,play,play
20073,context4,ac,37.65,16.863,ac,ac
20073,context4,books,182.377,176.372,books,books
20073,context4,conv,159.705,183.512,conv,conv
20073,context4,play,no_code,39.232,no_code,play
20086,context12,ac,no_code,1.47,no_code,ac
20086,context12,conv,492.983,117.733,conv,conv
20086,context12,play,no_code,319.165,no_code,play
20108,context13,ac,433.948,194.098,ac,ac
20108,context13,conv,11.916,135.296,conv,conv
20112,context2,conv,571.917,599.206,conv,conv
20112,context2,play,1.232,no_code,play,no_code
20113,context2,ac,28.284,32.029,ac,ac
20113,context2,routines,21.93,184.015,routines,routines
20114,context7,ac,12.129,72.296,ac,ac
20114,context7,conv,39.182,no_code,conv,no_code
20114,context7,routines,50.93,42.953,routines,routines
20117,context27,ac,124.527,87.076,ac,ac
20117,context27,conv,no_code,332.64,no_code,conv
20117,context27,play,124.957,no_code,play,no_code
20121,context8,ac,16.157,16.16,ac,ac
20121,context8,conv,183.574,189.382,conv,conv
20122,context9,ac,374.284,339.152,ac,ac
20127,context15,conv,43.341,43.324,conv,conv
20127,context15,food,539.275,539.246,food,food
20128,context3,ac,119.586,103.488,ac,ac
20128,context3,conv,360.005,402.413,conv,conv
20129,context37,ac,355.659,359.106,ac,ac
20132,context5,ac,2.907,105.509,ac,ac
20132,context5,conv,227.311,133.521,conv,conv
20132,context5,food,214.999,214.955,food,food
20136,context14,ac,371.5,371.329,ac,ac
20136,context14,play,179.292,178.909,play,play
20149,context6,play,527.98,527.371,play,play
20157,context15,ac,51.819,52.747,ac,ac
20157,context15,conv,17.493,13.793,conv,conv
20157,context15,play,188.63,170.837,play,play
20157,context15,routines,55.775,57.632,routines,routines
20161,context3,conv,29.522,no_code,conv,no_code
20161,context3,food,293.328,104.956,food,food
20161,context3,play,100.853,346.379,play,play
20166,context9,ac,43.467,86.804,ac,ac
20166,context9,conv,167.772,209.591,conv,conv
20166,context9,play,63.93,no_code,play,no_code
20166,context9,routines,68.042,67.034,routines,routines
20167,context19,ac,209.636,144.75,ac,ac
20167,context19,conv,154.954,328.259,conv,conv
20167,context19,food,72.805,no_code,food,no_code
20169,context10,ac,288.916,206.334,ac,ac
20169,context10,conv,275.315,258.385,conv,conv
20169,context10,play,no_code,58.9,no_code,play
20176,context18,ac,41.445,27.748,ac,ac
20176,context18,conv,63.471,151.274,conv,conv
20176,context18,play,139.563,43.931,play,play
20176,context18,routines,no_code,22.201,no_code,routines
20177,context2,books,402.695,402.859,books,books
20177,context2,play,145.716,145.769,play,play
20190,context4,ac,146.776,no_code,ac,no_code
20190,context4,books,239.501,208.25,books,books
20190,context4,conv,5.093,no_code,conv,no_code
20190,context4,play,no_code,209.32,no_code,play
20191,context4,ac,4.875,48.45,ac,ac
20191,context4,books,94.093,94.969,books,books
20191,context4,conv,31.193,31.825,conv,conv
20192,context23,ac,45.241,0.892,ac,ac
20192,context23,conv,128.631,233.96,conv,conv
20200,context5,ac,190.132,76.069,ac,ac
20200,context5,conv,234.375,337.132,conv,conv
20203,context2,ac,4.337,98.755,ac,ac
20203,context2,food,92.266,92.165,food,food
20203,context2,play,349.592,317.208,play,play
20203,context2,routines,27.3,23.551,routines,routines
20204,context11,ac,33.835,no_code,ac,no_code
20204,context11,play,487.372,551.689,play,play
20224,context5,ac,no_code,16.559,no_code,ac
20224,context5,conv,201.716,35.457,conv,conv
20224,context5,play,339.891,502.886,play,play
20225,context9,ac,112.796,202.725,ac,ac
20225,context9,conv,81.82,78.995,conv,conv
20225,context9,food,37.26,no_code,food,no_code
20227,context10,ac,166.804,132.179,ac,ac
20227,context10,conv,27.378,36.947,conv,conv
20227,context10,food,46.346,46.333,food,food
20233,context17,ac,229.221,204.907,ac,ac
20233,context17,conv,no_code,15.584,no_code,conv
20236,context8,conv,502.23,437.034,conv,conv
20242,context1,books,316.313,316.604,books,books
20242,context1,conv,no_code,56.108,no_code,conv
20242,context1,play,180.109,97.351,play,play
20251,context9,ac,254.051,253.933,ac,ac
20251,context9,conv,84.933,no_code,conv,no_code
20251,context9,play,237.8,325.505,play,play
